dayOfWeek,day_name,n_days,mean_daily_pax,median_daily_pax,std_daily_pax,cv_daily,min_daily_pax,max_daily_pax,pct_total_volume,peak_hour_of_day
1,Monday,192,1340193.02,1338482.5,157372.06,0.1174,456928.0,1676347.0,15.03,6
2,Tuesday,192,1155280.95,1149024.0,166973.48,0.1445,410115.0,1622812.0,12.95,6
3,Wednesday,192,1206569.01,1210986.0,165974.33,0.1376,428602.0,1571345.0,13.53,6
4,Thursday,191,1349248.42,1370423.0,182554.23,0.1353,471143.0,1711919.0,15.05,6
5,Friday,191,1338541.58,1341774.0,145789.25,0.1089,461842.0,1665521.0,14.93,6
6,Saturday,191,1172925.96,1163202.0,160591.08,0.1369,389670.0,1549485.0,13.08,6
7,Sunday,192,1376037.9,1405533.0,214652.63,0.156,445202.0,1765993.0,15.43,7
