operational_archetype,scheduled_flights,cancellation_rate_pct,avg_delay_minutes,flights_delayed_15min_pct,taxi_out_minutes,total_tsa_passengers,connecting_passengers_pct,local_originating_passengers_pct,cv_dep_delay,cv_cancel_rate,tsa_daily_cv,tsa_daily_peak_to_median
"Congested Coastal Airport (Restricted airspace, smaller regional planes, and chronic flight delays)",168028.0,2.0433333333333334,16.073333333333334,21.416666666666668,25.133333333333336,85593288.0,37.41,62.59,1.3666666666666665,2.6766666666666663,0.2358,1.3333333333333333
High Local Demand Airport (Most passengers start locally and pass through TSA security),165591.83333333334,1.61,14.981666666666667,20.458333333333332,18.599999999999998,46130270.166666664,48.431666666666665,51.568333333333335,1.2866666666666666,3.125,0.23841666666666664,1.8166666666666667
High-Reliability Fortress Hub (Major airline fortress with smooth operations and low delays),146908.875,1.1,11.55875,17.75625,18.7125,55406372.5,54.15,45.85,1.2,3.1275,0.192425,1.6275
Mega Connecting Hub (Very high passenger volumes with heavy connecting flight transfers),266387.75,1.38,15.5775,22.33625,19.447499999999998,91946976.625,56.09375,43.90625,1.13875,3.09625,0.2095875,1.595
