temporal_baseline,regime_classification_method,operational_regime,mathematical_definition_and_thresholds,sample_days_N,percent_of_sample,mean_sched_flights,std_sched_flights,mean_actual_flights,mean_cancel_rate_pct,std_cancel_rate_pct,mean_depdel15_pct,mean_dep_delay_min,std_dep_delay_min,mean_taxi_out_min
Macro Period (2019-2025 Full Warehouse),Systemwide Fixed Thresholds,Off-Peak (System Lull),scheduled_flights < 240 flights/day (Bottom 16th percentile lull),10304,16.12,167.2,49.09,166.05,0.67,1.0,11.8,4.58,7.59,15.79
Macro Period (2019-2025 Full Warehouse),Systemwide Fixed Thresholds,Mid-Peak (Nominal Baseline),scheduled_flights >= 550 flights/day (Top 18th percentile saturation),34726,54.32,377.98,82.38,375.43,0.66,0.92,17.01,8.52,7.09,18.83
Macro Period (2019-2025 Full Warehouse),Systemwide Fixed Thresholds,Event / Severe Shock,cancel_rate_pct >= 5.0% OR mean_dep_delay >= 30.0 min (Acute Exogenous Disruption),7624,11.93,406.28,218.57,354.63,13.75,15.54,34.36,30.96,26.24,22.28
Macro Period (2019-2025 Full Warehouse),Systemwide Fixed Thresholds,Peak (System Saturation),scheduled_flights >= 550 flights/day (Top 18th percentile saturation),11271,17.63,760.85,147.38,755.88,0.67,0.9,19.16,9.99,6.89,18.56
Macro Period (2019-2025 Full Warehouse),Airport-Normalized Quartile Scaling,Off-Peak,scheduled_flights < Q1(Origin) (Bottom quartile of airport-specific volume),13990,21.89,292.96,174.33,291.28,0.57,0.0,10.49,3.19,6.51,16.32
Macro Period (2019-2025 Full Warehouse),Airport-Normalized Quartile Scaling,Mid-Peak,scheduled_flights >= Q3(Origin) (Top quartile of airport-specific volume),28262,44.21,429.62,192.62,426.65,0.69,0.0,17.88,9.28,6.81,18.53
Macro Period (2019-2025 Full Warehouse),Airport-Normalized Quartile Scaling,Peak,scheduled_flights >= Q3(Origin) (Top quartile of airport-specific volume),14049,21.98,511.31,225.66,507.71,0.7,0.0,19.66,10.59,6.96,19.48
Macro Period (2019-2025 Full Warehouse),Airport-Normalized Quartile Scaling,Event / Severe Shock,cancel_rate_pct >= 5.0% OR mean_dep_delay >= 30.0 min (Acute Exogenous Disruption),7624,11.93,406.28,218.57,350.43,13.75,0.0,34.36,30.96,26.24,22.28
