day_name,mean_daily_pax,pct_total_volume,mean_sched_flights,mean_cancel_rate_pct,mean_depdel15_pct,mean_dep_delay_min,mean_taxi_out_min,mean_arr_delay_min
Monday,1340193.02,15.03,432.75,2.25,19.34,11.65,18.71,5.27
Tuesday,1155280.95,12.95,403.57,2.03,16.09,8.3,18.37,1.38
Wednesday,1206569.01,13.53,408.32,2.18,16.55,8.79,18.74,2.42
Thursday,1349248.42,15.05,429.64,2.39,19.37,11.62,19.23,6.01
Friday,1338541.58,14.93,432.59,2.28,20.24,12.15,19.08,6.29
Saturday,1172925.96,13.08,373.53,2.11,18.18,10.46,18.07,3.25
Sunday,1376037.9,15.43,423.83,2.35,20.55,12.73,18.72,6.51
