raw_dataset,airport_code,airport_name,city,state,dominant_carrier,dedicated_terminal,dedicated_checkpoints,scheduled_flights,total_tsa_passengers,connecting_passengers_pct,local_originating_passengers_pct,avg_delay_minutes,flights_delayed_15min_pct,cancellation_rate_pct,taxi_out_minutes,aircraft_seats_per_flight,flight_fullness_pct,exclusivity_type,plain_language_description
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",BOS,Boston Logan International,Boston,MA,DL,Terminal A,CKPT A1,177182,63720916,35.69%,64.31%,13.86,19.49%,1.44%,20.63,165.6,85.76%,Type I: Hard Physical Exclusivity (Air-Gapped Sterile Area),DL exclusive checkpoint environment at Terminal A (CKPT A1).
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",DFW,Dallas/Fort Worth International,Dallas/Fort Worth,TX,AA,"Terminals A, B, C","A12/A21, B9/B30, C10/C21",325555,90478800,66.32%,33.68%,19.85,28.07%,2.00%,18.58,171.1,85.26%,Type II: Operational Exclusivity (Curbside/Ticketing Dedicated with Airside APM),"AA exclusive checkpoint environment at Terminals A, B, C (A12/A21, B9/B30, C10/C21)."
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",DTW,Detroit Metropolitan Wayne County,Detroit,MI,DL,McNamara Terminal,"Red 1, Red 2, Red 3, Red 5/6",161967,46233019,53.01%,46.99%,11.55,18.43%,1.10%,16.96,165.4,83.85%,Type I: Hard Physical Exclusivity (Air-Gapped Sterile Area),"DL exclusive checkpoint environment at McNamara Terminal (Red 1, Red 2, Red 3, Red 5/6)."
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",EWR,Newark Liberty International,Newark,NJ,UA,Terminal C,CKPT-C1 / Terminal C/1,206024,87735124,33.58%,66.42%,18.32,24.65%,2.25%,24.67,170.7,86.12%,Type I: Hard Physical Exclusivity (Air-Gapped Sterile Area),UA exclusive checkpoint environment at Terminal C (CKPT-C1 / Terminal C/1).
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",IAH,George Bush Intercontinental,Houston,TX,UA,Terminals C & E,"30/CN Terminal, 31/CS Terminal, 70/E Terminal",209172,66010894,50.23%,49.77%,15.72,22.12%,1.40%,19.63,165.9,84.23%,Type II: Operational Exclusivity (Curbside/Ticketing Dedicated with Airside APM),"UA exclusive checkpoint environment at Terminals C & E (30/CN Terminal, 31/CS Terminal, 70/E Terminal)."
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",LAX,Los Angeles International,Los Angeles,CA,Tri-Carrier Parity (DL / AA / UA),"T3 (DL), T4 (AA), T7 (UA)","T3 - Passenger (DL), T4 - Passenger (AA), Terminal 7 - Passenger (UA)",277433,129069341,39.59%,60.41%,11.99,17.93%,0.99%,18.45,182.3,86.06%,Type II: Operational Exclusivity (Landside-Dedicated with Airside Pedestrian Connectors),"Tri-Carrier Parity (DL / AA / UA) exclusive checkpoint environment at T3 (DL), T4 (AA), T7 (UA) (T3 - Passenger (DL), T4 - Passenger (AA), Terminal 7 - Passenger (UA))."
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",LGA,LaGuardia Airport,New York,NY,DL,Terminal C,TC-CHK / CHK West,164909,53034753,44.41%,55.59%,15.65,20.14%,2.46%,24.03,154.2,84.72%,Type I: Hard Physical Exclusivity (Air-Gapped Sterile Area),DL exclusive checkpoint environment at Terminal C (TC-CHK / CHK West).
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",ORD,Chicago O'Hare International,Chicago,IL,Dual Fortress (UA & AA),Terminal 1 (UA) & Terminal 3 (AA),"T1: CKPT 1, 2, 3A (UA) | T3: CKPT 7, 7A, 8, 9 (AA)",360571,63598273,60.00%,40.00%,16.36,22.59%,1.47%,21.97,168.0,84.81%,Type I: Hard Physical Exclusivity (Air-Gapped Sterile Area),"Dual Fortress (UA & AA) exclusive checkpoint environment at Terminal 1 (UA) & Terminal 3 (AA) (T1: CKPT 1, 2, 3A (UA) | T3: CKPT 7, 7A, 8, 9 (AA))."
"Multi-Source Combined (TSA, BTS OTP, BTS T-100, DB1C)",PHL,Philadelphia International,Philadelphia,PA,AA,Terminals B & C,"Checkpoint B, Checkpoint C",138372,40429531,44.21%,55.79%,13.77,19.33%,1.52%,20.35,172.6,83.85%,Type II: Operational Exclusivity (Curbside/Ticketing Dedicated with Airside Pedestrian Walkway),"AA exclusive checkpoint environment at Terminals B & C (Checkpoint B, Checkpoint C)."
